object,color,seed,prompt,image_path,object_raw,color_raw,object_predicted,color_predicted,binding_correct
polar bear,yellow,4,a photo of a yellow polar bear,polar_bear/yellow/seed_0004.png,polar bear,white,polar bear,white,False
polar bear,yellow,5,a photo of a yellow polar bear,polar_bear/yellow/seed_0005.png,polar bear,white,polar bear,white,False
polar bear,yellow,6,a photo of a yellow polar bear,polar_bear/yellow/seed_0006.png,polar bear,white,polar bear,white,False
polar bear,yellow,7,a photo of a yellow polar bear,polar_bear/yellow/seed_0007.png,polar bear,white,polar bear,white,False
polar bear,yellow,8,a photo of a yellow polar bear,polar_bear/yellow/seed_0008.png,polar bear,white,polar bear,white,False
polar bear,yellow,9,a photo of a yellow polar bear,polar_bear/yellow/seed_0009.png,polar bear,white,polar bear,white,False
polar bear,yellow,10,a photo of a yellow polar bear,polar_bear/yellow/seed_0010.png,polar bear,yellow,polar bear,yellow,True
polar bear,yellow,11,a photo of a yellow polar bear,polar_bear/yellow/seed_0011.png,bear,yellow,polar bear,yellow,True
polar bear,yellow,12,a photo of a yellow polar bear,polar_bear/yellow/seed_0012.png,polar bear,white,polar bear,white,False
polar bear,yellow,13,a photo of a yellow polar bear,polar_bear/yellow/seed_0013.png,polar bear,white,polar bear,white,False
polar bear,yellow,14,a photo of a yellow polar bear,polar_bear/yellow/seed_0014.png,polar bear,white,polar bear,white,False
polar bear,yellow,15,a photo of a yellow polar bear,polar_bear/yellow/seed_0015.png,polar bear,white,polar bear,white,False
polar bear,yellow,16,a photo of a yellow polar bear,polar_bear/yellow/seed_0016.png,polar bear,white,polar bear,white,False
polar bear,yellow,17,a photo of a yellow polar bear,polar_bear/yellow/seed_0017.png,polar bear,yellow,polar bear,yellow,True
polar bear,yellow,18,a photo of a yellow polar bear,polar_bear/yellow/seed_0018.png,polar bear,white,polar bear,white,False
polar bear,yellow,19,a photo of a yellow polar bear,polar_bear/yellow/seed_0019.png,polar bear,white,polar bear,white,False
polar bear,yellow,20,a photo of a yellow polar bear,polar_bear/yellow/seed_0020.png,polar bear,yellow,polar bear,yellow,True
polar bear,yellow,21,a photo of a yellow polar bear,polar_bear/yellow/seed_0021.png,polar bear,white,polar bear,white,False
polar bear,yellow,22,a photo of a yellow polar bear,polar_bear/yellow/seed_0022.png,polar bear,white,polar bear,white,False
polar bear,yellow,23,a photo of a yellow polar bear,polar_bear/yellow/seed_0023.png,polar bear,white,polar bear,white,False
polar bear,yellow,24,a photo of a yellow polar bear,polar_bear/yellow/seed_0024.png,polar bear,yellow,polar bear,yellow,True
polar bear,yellow,25,a photo of a yellow polar bear,polar_bear/yellow/seed_0025.png,polar bear,white,polar bear,white,False
polar bear,yellow,26,a photo of a yellow polar bear,polar_bear/yellow/seed_0026.png,polar bear,white,polar bear,white,False
polar bear,yellow,27,a photo of a yellow polar bear,polar_bear/yellow/seed_0027.png,polar bear,white,polar bear,white,False
polar bear,yellow,28,a photo of a yellow polar bear,polar_bear/yellow/seed_0028.png,polar bear,white,polar bear,white,False
polar bear,yellow,29,a photo of a yellow polar bear,polar_bear/yellow/seed_0029.png,polar bear,white,polar bear,white,False
polar bear,red,0,a photo of a red polar bear,polar_bear/red/seed_0000.png,polar bear,white,polar bear,white,False
polar bear,red,1,a photo of a red polar bear,polar_bear/red/seed_0001.png,bear,red,polar bear,red,True
polar bear,red,2,a photo of a red polar bear,polar_bear/red/seed_0002.png,bear,brown,polar bear,brown,False
polar bear,red,3,a photo of a red polar bear,polar_bear/red/seed_0003.png,polar bear,white,polar bear,white,False
polar bear,red,4,a photo of a red polar bear,polar_bear/red/seed_0004.png,bear,brown,polar bear,brown,False
polar bear,red,5,a photo of a red polar bear,polar_bear/red/seed_0005.png,bear,red,polar bear,red,True
polar bear,red,6,a photo of a red polar bear,polar_bear/red/seed_0006.png,polar bear,white,polar bear,white,False
polar bear,red,7,a photo of a red polar bear,polar_bear/red/seed_0007.png,polar bear,white,polar bear,white,False
polar bear,red,8,a photo of a red polar bear,polar_bear/red/seed_0008.png,polar bear,white,polar bear,white,False
polar bear,red,9,a photo of a red polar bear,polar_bear/red/seed_0009.png,bear,red,polar bear,red,True
polar bear,red,10,a photo of a red polar bear,polar_bear/red/seed_0010.png,polar bear,tan,polar bear,brown,False
polar bear,red,11,a photo of a red polar bear,polar_bear/red/seed_0011.png,polar bear,white,polar bear,white,False
polar bear,red,12,a photo of a red polar bear,polar_bear/red/seed_0012.png,bear,red,polar bear,red,True
polar bear,red,13,a photo of a red polar bear,polar_bear/red/seed_0013.png,bear,orange,polar bear,orange,False
polar bear,red,14,a photo of a red polar bear,polar_bear/red/seed_0014.png,bear,orange,polar bear,orange,False
polar bear,red,15,a photo of a red polar bear,polar_bear/red/seed_0015.png,polar bear,white,polar bear,white,False
polar bear,red,16,a photo of a red polar bear,polar_bear/red/seed_0016.png,bear,white,polar bear,white,False
polar bear,red,17,a photo of a red polar bear,polar_bear/red/seed_0017.png,bear,red,polar bear,red,True
polar bear,red,18,a photo of a red polar bear,polar_bear/red/seed_0018.png,bear,red,polar bear,red,True
polar bear,red,19,a photo of a red polar bear,polar_bear/red/seed_0019.png,bear,red,polar bear,red,True
polar bear,red,20,a photo of a red polar bear,polar_bear/red/seed_0020.png,bear,red,polar bear,red,True
polar bear,red,21,a photo of a red polar bear,polar_bear/red/seed_0021.png,bear,red,polar bear,red,True
polar bear,red,22,a photo of a red polar bear,polar_bear/red/seed_0022.png,bear,orange,polar bear,orange,False
polar bear,red,23,a photo of a red polar bear,polar_bear/red/seed_0023.png,bear,orange,polar bear,orange,False
polar bear,red,24,a photo of a red polar bear,polar_bear/red/seed_0024.png,bear,red,polar bear,red,True
polar bear,red,25,a photo of a red polar bear,polar_bear/red/seed_0025.png,polar bear,white,polar bear,white,False
polar bear,red,26,a photo of a red polar bear,polar_bear/red/seed_0026.png,bear,brown,polar bear,brown,False
polar bear,red,27,a photo of a red polar bear,polar_bear/red/seed_0027.png,bear,red,polar bear,red,True
polar bear,red,28,a photo of a red polar bear,polar_bear/red/seed_0028.png,bear,orange,polar bear,orange,False
polar bear,red,29,a photo of a red polar bear,polar_bear/red/seed_0029.png,polar bear,red,polar bear,red,True
polar bear,green,0,a photo of a green polar bear,polar_bear/green/seed_0000.png,bear,green,polar bear,green,True
polar bear,green,1,a photo of a green polar bear,polar_bear/green/seed_0001.png,bear,green,polar bear,green,True
polar bear,green,2,a photo of a green polar bear,polar_bear/green/seed_0002.png,polar bear,white,polar bear,white,False
polar bear,green,3,a photo of a green polar bear,polar_bear/green/seed_0003.png,polar bear,white,polar bear,white,False
polar bear,green,4,a photo of a green polar bear,polar_bear/green/seed_0004.png,bear,green,polar bear,green,True
polar bear,green,5,a photo of a green polar bear,polar_bear/green/seed_0005.png,bear,white,polar bear,white,False
polar bear,green,6,a photo of a green polar bear,polar_bear/green/seed_0006.png,bear,white,polar bear,white,False
polar bear,green,7,a photo of a green polar bear,polar_bear/green/seed_0007.png,polar bear,white,polar bear,white,False
polar bear,green,8,a photo of a green polar bear,polar_bear/green/seed_0008.png,polar bear,white,polar bear,white,False
polar bear,green,9,a photo of a green polar bear,polar_bear/green/seed_0009.png,polar bear,white,polar bear,white,False
polar bear,green,10,a photo of a green polar bear,polar_bear/green/seed_0010.png,polar bear,white,polar bear,white,False
polar bear,green,11,a photo of a green polar bear,polar_bear/green/seed_0011.png,polar bear,white,polar bear,white,False
polar bear,green,12,a photo of a green polar bear,polar_bear/green/seed_0012.png,polar bear,white,polar bear,white,False
polar bear,green,13,a photo of a green polar bear,polar_bear/green/seed_0013.png,polar bear,white,polar bear,white,False
polar bear,green,14,a photo of a green polar bear,polar_bear/green/seed_0014.png,polar bear,white,polar bear,white,False
polar bear,green,15,a photo of a green polar bear,polar_bear/green/seed_0015.png,polar bear,white,polar bear,white,False
polar bear,green,16,a photo of a green polar bear,polar_bear/green/seed_0016.png,bear,white,polar bear,white,False
polar bear,green,17,a photo of a green polar bear,polar_bear/green/seed_0017.png,polar bear,white,polar bear,white,False
polar bear,green,18,a photo of a green polar bear,polar_bear/green/seed_0018.png,polar bear,white,polar bear,white,False
polar bear,green,19,a photo of a green polar bear,polar_bear/green/seed_0019.png,bear,white,polar bear,white,False
polar bear,green,20,a photo of a green polar bear,polar_bear/green/seed_0020.png,polar bear,white,polar bear,white,False
polar bear,green,21,a photo of a green polar bear,polar_bear/green/seed_0021.png,polar bear,green,polar bear,green,True
polar bear,green,22,a photo of a green polar bear,polar_bear/green/seed_0022.png,bear,green,polar bear,green,True
polar bear,green,23,a photo of a green polar bear,polar_bear/green/seed_0023.png,polar bear,white,polar bear,white,False
polar bear,green,24,a photo of a green polar bear,polar_bear/green/seed_0024.png,polar bear,white,polar bear,white,False
polar bear,green,25,a photo of a green polar bear,polar_bear/green/seed_0025.png,polar bears,white,polar bear,white,False
polar bear,green,26,a photo of a green polar bear,polar_bear/green/seed_0026.png,polar bear,white,polar bear,white,False
polar bear,green,27,a photo of a green polar bear,polar_bear/green/seed_0027.png,polar bear,white,polar bear,white,False
polar bear,green,28,a photo of a green polar bear,polar_bear/green/seed_0028.png,polar bear,white,polar bear,white,False
polar bear,green,29,a photo of a green polar bear,polar_bear/green/seed_0029.png,polar bear,white,polar bear,white,False
polar bear,pink,0,a photo of a pink polar bear,polar_bear/pink/seed_0000.png,polar bear,white,polar bear,white,False
polar bear,pink,1,a photo of a pink polar bear,polar_bear/pink/seed_0001.png,polar bear,white,polar bear,white,False
polar bear,pink,2,a photo of a pink polar bear,polar_bear/pink/seed_0002.png,polar bear,pink,polar bear,pink,True
polar bear,pink,3,a photo of a pink polar bear,polar_bear/pink/seed_0003.png,polar bear,pink,polar bear,pink,True
polar bear,pink,4,a photo of a pink polar bear,polar_bear/pink/seed_0004.png,polar bear,white,polar bear,white,False
polar bear,pink,5,a photo of a pink polar bear,polar_bear/pink/seed_0005.png,polar bear,white,polar bear,white,False
polar bear,pink,6,a photo of a pink polar bear,polar_bear/pink/seed_0006.png,polar bear,white,polar bear,white,False
polar bear,pink,7,a photo of a pink polar bear,polar_bear/pink/seed_0007.png,polar bear,white,polar bear,white,False
polar bear,pink,8,a photo of a pink polar bear,polar_bear/pink/seed_0008.png,polar bear,pink,polar bear,pink,True
polar bear,pink,9,a photo of a pink polar bear,polar_bear/pink/seed_0009.png,polar bear,pink,polar bear,pink,True
polar bear,pink,10,a photo of a pink polar bear,polar_bear/pink/seed_0010.png,polar bear,white,polar bear,white,False
polar bear,pink,11,a photo of a pink polar bear,polar_bear/pink/seed_0011.png,polar bear,white,polar bear,white,False
polar bear,pink,12,a photo of a pink polar bear,polar_bear/pink/seed_0012.png,polar bear,white,polar bear,white,False
polar bear,pink,13,a photo of a pink polar bear,polar_bear/pink/seed_0013.png,polar bear,white,polar bear,white,False
polar bear,pink,14,a photo of a pink polar bear,polar_bear/pink/seed_0014.png,polar bear,white,polar bear,white,False
polar bear,pink,15,a photo of a pink polar bear,polar_bear/pink/seed_0015.png,polar bear,white,polar bear,white,False
polar bear,pink,16,a photo of a pink polar bear,polar_bear/pink/seed_0016.png,polar bear,white,polar bear,white,False
polar bear,pink,17,a photo of a pink polar bear,polar_bear/pink/seed_0017.png,polar bear,white,polar bear,white,False
polar bear,pink,18,a photo of a pink polar bear,polar_bear/pink/seed_0018.png,bear,pink,polar bear,pink,True
polar bear,pink,19,a photo of a pink polar bear,polar_bear/pink/seed_0019.png,polar bear,white,polar bear,white,False
polar bear,pink,20,a photo of a pink polar bear,polar_bear/pink/seed_0020.png,polar bear,white,polar bear,white,False
polar bear,pink,21,a photo of a pink polar bear,polar_bear/pink/seed_0021.png,bear,pink,polar bear,pink,True
polar bear,pink,22,a photo of a pink polar bear,polar_bear/pink/seed_0022.png,polar bear,pink,polar bear,pink,True
polar bear,pink,23,a photo of a pink polar bear,polar_bear/pink/seed_0023.png,polar bear,white,polar bear,white,False
polar bear,pink,24,a photo of a pink polar bear,polar_bear/pink/seed_0024.png,polar bear,white,polar bear,white,False
polar bear,pink,25,a photo of a pink polar bear,polar_bear/pink/seed_0025.png,polar bear,white,polar bear,white,False
polar bear,pink,26,a photo of a pink polar bear,polar_bear/pink/seed_0026.png,bear,white,polar bear,white,False
polar bear,pink,27,a photo of a pink polar bear,polar_bear/pink/seed_0027.png,polar bear,pink,polar bear,pink,True
polar bear,pink,28,a photo of a pink polar bear,polar_bear/pink/seed_0028.png,polar bear,white,polar bear,white,False
polar bear,pink,29,a photo of a pink polar bear,polar_bear/pink/seed_0029.png,polar bear,pink,polar bear,pink,True
polar bear,orange,0,a photo of a orange polar bear,polar_bear/orange/seed_0000.png,polar bear,white,polar bear,white,False
polar bear,orange,1,a photo of a orange polar bear,polar_bear/orange/seed_0001.png,polar bear,white,polar bear,white,False
polar bear,orange,2,a photo of a orange polar bear,polar_bear/orange/seed_0002.png,polar bear,white,polar bear,white,False
polar bear,orange,3,a photo of a orange polar bear,polar_bear/orange/seed_0003.png,polar bear,white,polar bear,white,False
polar bear,orange,4,a photo of a orange polar bear,polar_bear/orange/seed_0004.png,polar bear,yellow,polar bear,yellow,False
polar bear,orange,5,a photo of a orange polar bear,polar_bear/orange/seed_0005.png,polar bear,yellow,polar bear,yellow,False
polar bear,orange,6,a photo of a orange polar bear,polar_bear/orange/seed_0006.png,polar bear,white,polar bear,white,False
polar bear,orange,7,a photo of a orange polar bear,polar_bear/orange/seed_0007.png,polar bear,white,polar bear,white,False
polar bear,orange,8,a photo of a orange polar bear,polar_bear/orange/seed_0008.png,polar bear,orange,polar bear,orange,True
polar bear,orange,9,a photo of a orange polar bear,polar_bear/orange/seed_0009.png,polar bear,orange,polar bear,orange,True
polar bear,orange,10,a photo of a orange polar bear,polar_bear/orange/seed_0010.png,polar bear,yellow,polar bear,yellow,False
polar bear,orange,11,a photo of a orange polar bear,polar_bear/orange/seed_0011.png,polar bear,yellow,polar bear,yellow,False
polar bear,orange,12,a photo of a orange polar bear,polar_bear/orange/seed_0012.png,polar bear,white,polar bear,white,False
polar bear,orange,13,a photo of a orange polar bear,polar_bear/orange/seed_0013.png,polar bear,white,polar bear,white,False
polar bear,orange,14,a photo of a orange polar bear,polar_bear/orange/seed_0014.png,bear,orange,polar bear,orange,True
polar bear,orange,15,a photo of a orange polar bear,polar_bear/orange/seed_0015.png,polar bear,white,polar bear,white,False
polar bear,orange,16,a photo of a orange polar bear,polar_bear/orange/seed_0016.png,polar bear,white,polar bear,white,False
polar bear,orange,17,a photo of a orange polar bear,polar_bear/orange/seed_0017.png,polar bear,orange,polar bear,orange,True
polar bear,orange,18,a photo of a orange polar bear,polar_bear/orange/seed_0018.png,polar bear,white,polar bear,white,False
polar bear,orange,19,a photo of a orange polar bear,polar_bear/orange/seed_0019.png,polar bear,white,polar bear,white,False
polar bear,orange,20,a photo of a orange polar bear,polar_bear/orange/seed_0020.png,polar bear,orange,polar bear,orange,True
polar bear,orange,21,a photo of a orange polar bear,polar_bear/orange/seed_0021.png,bear,yellow,polar bear,yellow,False
polar bear,orange,22,a photo of a orange polar bear,polar_bear/orange/seed_0022.png,polar bear,white,polar bear,white,False
polar bear,orange,23,a photo of a orange polar bear,polar_bear/orange/seed_0023.png,bear,orange,polar bear,orange,True
polar bear,orange,24,a photo of a orange polar bear,polar_bear/orange/seed_0024.png,polar bear,yellow,polar bear,yellow,False
polar bear,orange,25,a photo of a orange polar bear,polar_bear/orange/seed_0025.png,polar bear,white,polar bear,white,False
polar bear,orange,26,a photo of a orange polar bear,polar_bear/orange/seed_0026.png,polar bear,white,polar bear,white,False
polar bear,orange,27,a photo of a orange polar bear,polar_bear/orange/seed_0027.png,polar bear,yellow,polar bear,yellow,False
polar bear,orange,28,a photo of a orange polar bear,polar_bear/orange/seed_0028.png,bear,orange,polar bear,orange,True
polar bear,orange,29,a photo of a orange polar bear,polar_bear/orange/seed_0029.png,polar bear,white,polar bear,white,False
polar bear,purple,0,a photo of a purple polar bear,polar_bear/purple/seed_0000.png,polar bear,white,polar bear,white,False
polar bear,purple,1,a photo of a purple polar bear,polar_bear/purple/seed_0001.png,polar bear,white,polar bear,white,False
polar bear,purple,2,a photo of a purple polar bear,polar_bear/purple/seed_0002.png,polar bear,white,polar bear,white,False
polar bear,purple,3,a photo of a purple polar bear,polar_bear/purple/seed_0003.png,polar bear,white,polar bear,white,False
polar bear,purple,4,a photo of a purple polar bear,polar_bear/purple/seed_0004.png,polar bear,white,polar bear,white,False
polar bear,purple,5,a photo of a purple polar bear,polar_bear/purple/seed_0005.png,bear,purple,polar bear,purple,True
polar bear,purple,6,a photo of a purple polar bear,polar_bear/purple/seed_0006.png,polar bear,white,polar bear,white,False
polar bear,purple,7,a photo of a purple polar bear,polar_bear/purple/seed_0007.png,polar bear,white,polar bear,white,False
polar bear,purple,8,a photo of a purple polar bear,polar_bear/purple/seed_0008.png,polar bear,white,polar bear,white,False
polar bear,purple,9,a photo of a purple polar bear,polar_bear/purple/seed_0009.png,bear,purple,polar bear,purple,True
polar bear,purple,10,a photo of a purple polar bear,polar_bear/purple/seed_0010.png,polar bear,white,polar bear,white,False
polar bear,purple,11,a photo of a purple polar bear,polar_bear/purple/seed_0011.png,polar bear,white,polar bear,white,False
polar bear,purple,12,a photo of a purple polar bear,polar_bear/purple/seed_0012.png,polar bear,white,polar bear,white,False
polar bear,purple,13,a photo of a purple polar bear,polar_bear/purple/seed_0013.png,polar bear,white,polar bear,white,False
polar bear,purple,14,a photo of a purple polar bear,polar_bear/purple/seed_0014.png,polar bear,white,polar bear,white,False
polar bear,purple,15,a photo of a purple polar bear,polar_bear/purple/seed_0015.png,polar bear,white,polar bear,white,False
polar bear,purple,16,a photo of a purple polar bear,polar_bear/purple/seed_0016.png,polar bear,white,polar bear,white,False
polar bear,purple,17,a photo of a purple polar bear,polar_bear/purple/seed_0017.png,polar bear,white,polar bear,white,False
polar bear,purple,18,a photo of a purple polar bear,polar_bear/purple/seed_0018.png,bear,purple,polar bear,purple,True
polar bear,purple,19,a photo of a purple polar bear,polar_bear/purple/seed_0019.png,bear,purple,polar bear,purple,True
polar bear,purple,20,a photo of a purple polar bear,polar_bear/purple/seed_0020.png,bear,purple,polar bear,purple,True
polar bear,purple,21,a photo of a purple polar bear,polar_bear/purple/seed_0021.png,bear,pink,polar bear,pink,False
polar bear,purple,22,a photo of a purple polar bear,polar_bear/purple/seed_0022.png,polar bear,white,polar bear,white,False
polar bear,purple,23,a photo of a purple polar bear,polar_bear/purple/seed_0023.png,bear,purple,polar bear,purple,True
polar bear,purple,24,a photo of a purple polar bear,polar_bear/purple/seed_0024.png,polar bear,white,polar bear,white,False
polar bear,purple,25,a photo of a purple polar bear,polar_bear/purple/seed_0025.png,polar bear,white,polar bear,white,False
polar bear,purple,26,a photo of a purple polar bear,polar_bear/purple/seed_0026.png,bear,pink,polar bear,pink,False
polar bear,purple,27,a photo of a purple polar bear,polar_bear/purple/seed_0027.png,bear,purple,polar bear,purple,True
polar bear,purple,28,a photo of a purple polar bear,polar_bear/purple/seed_0028.png,polar bear,white,polar bear,white,False
polar bear,purple,29,a photo of a purple polar bear,polar_bear/purple/seed_0029.png,polar bear,white,polar bear,white,False
polar bear,white,0,a photo of a white polar bear,polar_bear/white/seed_0000.png,polar bear,white,polar bear,white,True
polar bear,white,1,a photo of a white polar bear,polar_bear/white/seed_0001.png,polar bear,white,polar bear,white,True
polar bear,white,2,a photo of a white polar bear,polar_bear/white/seed_0002.png,polar bear,white,polar bear,white,True
polar bear,white,3,a photo of a white polar bear,polar_bear/white/seed_0003.png,polar bear,white,polar bear,white,True
polar bear,white,4,a photo of a white polar bear,polar_bear/white/seed_0004.png,polar bear,white,polar bear,white,True
polar bear,white,5,a photo of a white polar bear,polar_bear/white/seed_0005.png,polar bear,white,polar bear,white,True
polar bear,white,6,a photo of a white polar bear,polar_bear/white/seed_0006.png,polar bear,white,polar bear,white,True
polar bear,white,7,a photo of a white polar bear,polar_bear/white/seed_0007.png,polar bear,white,polar bear,white,True
polar bear,white,8,a photo of a white polar bear,polar_bear/white/seed_0008.png,polar bear,white,polar bear,white,True
polar bear,white,9,a photo of a white polar bear,polar_bear/white/seed_0009.png,polar bear,white,polar bear,white,True
polar bear,white,10,a photo of a white polar bear,polar_bear/white/seed_0010.png,polar bear,white,polar bear,white,True
polar bear,white,11,a photo of a white polar bear,polar_bear/white/seed_0011.png,polar bear,white,polar bear,white,True
polar bear,white,12,a photo of a white polar bear,polar_bear/white/seed_0012.png,polar bear,white,polar bear,white,True
polar bear,white,13,a photo of a white polar bear,polar_bear/white/seed_0013.png,polar bear,white,polar bear,white,True
polar bear,white,14,a photo of a white polar bear,polar_bear/white/seed_0014.png,polar bear,white,polar bear,white,True
polar bear,white,15,a photo of a white polar bear,polar_bear/white/seed_0015.png,polar bear,white,polar bear,white,True
polar bear,white,16,a photo of a white polar bear,polar_bear/white/seed_0016.png,polar bear,white,polar bear,white,True
polar bear,white,17,a photo of a white polar bear,polar_bear/white/seed_0017.png,polar bear,white,polar bear,white,True
polar bear,white,18,a photo of a white polar bear,polar_bear/white/seed_0018.png,polar bear,white,polar bear,white,True
polar bear,white,19,a photo of a white polar bear,polar_bear/white/seed_0019.png,polar bear,white,polar bear,white,True
polar bear,white,20,a photo of a white polar bear,polar_bear/white/seed_0020.png,polar bear,white,polar bear,white,True
polar bear,white,21,a photo of a white polar bear,polar_bear/white/seed_0021.png,polar bear,white,polar bear,white,True
polar bear,white,22,a photo of a white polar bear,polar_bear/white/seed_0022.png,polar bear,white,polar bear,white,True
polar bear,white,23,a photo of a white polar bear,polar_bear/white/seed_0023.png,polar bear,white,polar bear,white,True
polar bear,white,24,a photo of a white polar bear,polar_bear/white/seed_0024.png,polar bear,white,polar bear,white,True
polar bear,white,25,a photo of a white polar bear,polar_bear/white/seed_0025.png,polar bear,white,polar bear,white,True
polar bear,white,26,a photo of a white polar bear,polar_bear/white/seed_0026.png,polar bear,white,polar bear,white,True
polar bear,white,27,a photo of a white polar bear,polar_bear/white/seed_0027.png,polar bear,white,polar bear,white,True
polar bear,white,28,a photo of a white polar bear,polar_bear/white/seed_0028.png,polar bear,white,polar bear,white,True
polar bear,white,29,a photo of a white polar bear,polar_bear/white/seed_0029.png,polar bear,white,polar bear,white,True
polar bear,black,0,a photo of a black polar bear,polar_bear/black/seed_0000.png,bear,black,polar bear,black,True
polar bear,black,1,a photo of a black polar bear,polar_bear/black/seed_0001.png,bear,black,polar bear,black,True
polar bear,black,2,a photo of a black polar bear,polar_bear/black/seed_0002.png,bear,black,polar bear,black,True
polar bear,black,3,a photo of a black polar bear,polar_bear/black/seed_0003.png,bear,black,polar bear,black,True
polar bear,black,4,a photo of a black polar bear,polar_bear/black/seed_0004.png,bear,black,polar bear,black,True
polar bear,black,5,a photo of a black polar bear,polar_bear/black/seed_0005.png,bear,black,polar bear,black,True
polar bear,black,6,a photo of a black polar bear,polar_bear/black/seed_0006.png,bear,white,polar bear,white,False
polar bear,black,7,a photo of a black polar bear,polar_bear/black/seed_0007.png,bear,black,polar bear,black,True
polar bear,black,8,a photo of a black polar bear,polar_bear/black/seed_0008.png,bear,black,polar bear,black,True
polar bear,black,9,a photo of a black polar bear,polar_bear/black/seed_0009.png,bear,black,polar bear,black,True
polar bear,black,10,a photo of a black polar bear,polar_bear/black/seed_0010.png,bear,black,polar bear,black,True
polar bear,black,11,a photo of a black polar bear,polar_bear/black/seed_0011.png,bear,black,polar bear,black,True
polar bear,black,12,a photo of a black polar bear,polar_bear/black/seed_0012.png,bear,black,polar bear,black,True
polar bear,black,13,a photo of a black polar bear,polar_bear/black/seed_0013.png,bear,black,polar bear,black,True
polar bear,black,14,a photo of a black polar bear,polar_bear/black/seed_0014.png,bear,black,polar bear,black,True
polar bear,black,15,a photo of a black polar bear,polar_bear/black/seed_0015.png,bear,black,polar bear,black,True
polar bear,black,16,a photo of a black polar bear,polar_bear/black/seed_0016.png,bear,black,polar bear,black,True
